номер	ответ	номер	ответ	номер	ответ	номер	ответ	номер	ответ
001	а	034	б	067	г	100	а	133	в
002	г	035	а	068	б	101	а	134	г
003	в	036	г	069	а	102	д	135	г
004	г	037	в	070	в	103	б	136	г
005	а	038	д	071	а	104	а	137	г
006	б	039	а	072	б	105	б	138	д
007	в	040	в	073	в	106	в	139	г
008	г	041	г	074	в	107	г	140	д
009	а	042	б	075	д	108	в	141	д
010	а	043	а	076	д	109	в	142	г
011	б	044	а	077	д	110	в	143	в
012	в	045	б	078	в	111	а	144	в
013	г	046	б	079	а	112	д	145	б
014	а	047	а	080	а	113	б	146	а
015	в	048	в	081	г	114	а	147	г
016	б	049	д	082	б	115	г	148	в
017	г	050	в	083	в	116	д	149	г
018	г	051	а	084	а	117	в	150	в
019	а	052	б	085	б	118	б	151	б
020	д	053	б	086	г	119	г	152	г
021	г	054	а	087	в	120	д	153	г
022	г	055	б	088	г	121	в	154	в
023	в	056	в	089	в	122	д	155	г
024	г	057	д	090	г	123	б	156	а
025	б	058	в	091	д	124	б	157	д
026	д	059	г	092	г	125	г	158	д
027	д	060	а	093	д	126	д	159	д
028	а	061	в	094	б	127	г	160	а
029	в	062	г	095	в	128	г	161	в
030	б	063	в	096	в	129	в	162	д
031	в	064	д	097	г	130	в	163	д
032	в	065	а	098	в	131	б	164	д
033	в	066	д	099	д	132	б	165	в
166	б	208	г	250	д	292	б	334	в
167	д	209	г	251	г	293	в	335	г
168	г	210	в	252	а	294	г	336	в
169	в	211	г	253	б	295	а	337	б
170	г	212	а	254	д	296	д	338	б
171	г	213	а	255	г	297	а	339	д
172	д	214	в	256	г	298	г	340	в
173	б	215	а	257	а	299	в	341	г
174	г	216	г	258	в	300	г	342	г
175	в	217	а	259	г	301	в	343	г
176	в	218	в	260	д	302	в	344	д
177	а	219	д	261	б	303	б	345	в
178	б	220	б	262	в	304	в	346	а
179	г	221	в	263	в	305	б	347	а
180	а	222	а	264	д	306	а	348	а
181	в	223	в	265	д	307	г	349	в
