1	в	26	б	51	г	76	б,в,г
2	б	27	а	52	в	77	а,д
3	г	28	а	53	а	78	а,б,в
4	в	29	б	54	б,г,д	79	а,б,в,г
5	в	30	г	55	б	80	г
6	б	31	б	56	г	81	в
7	в	32	а	57	в	82	в
8	в	33	г	58	а	83	а
9	в	34	а	59	в	84	б
10	а	35	б	60	б	85	г
11	в	36	г	61	б,г	86	в
12	а,б	37	а	62	г	87	г
13	а	38	г	63	б	88	а
14	а	39	а	64	б	89	г
15	б	40	б	65	в	90	а,в,г,д
16	в	41	г	66	в	91	д
17	а	42	б	67	а,в,г,д	92	в
18	а	43	г	68	а	93	б
19	в	44	в	69	в	94	г
20	а,б,в,г	45	а	70	в	95	а
21	б	46	в	71	а	96	в
22	г	47	в	72	в	97	а,б,в,г
23	б	48	в	73	а	98	б,в,г
24	б	49	в	74	б	99	в,г
25	г	50	б	75	а	100	а,в,д
